Year,Week,Game,Home Team,Away Team
2011,1,1,THE Great Chewbaccas,Ghost of Derrick Thomas
2011,1,2,THE Great Chewbaccas,MC Gusto
2011,1,3,MC Gusto,Team Thompson
2011,1,4,He Hate Me,Ghost of Derrick Thomas
2011,1,5,He Hate Me,Phinatics
2011,1,6,GoodFellas,Team Thompson
2011,1,7,GoodFellas,Pestilence
2011,1,8,Brees Nuts,Phinatics
2011,1,9,Brees Nuts,Team Colbert
2011,1,10,Crackers,Pestilence
2011,1,11,Crackers,Team Christman
2011,1,12,Pillshovellers,Team Colbert
2011,1,13,Pillshovellers,Scalp Hunters
2011,1,14,Scalp Hunters,Team Christman
2011,1,15,MC Gusto,* League Average
2011,1,16,He Hate Me,* League Average
2011,1,17,GoodFellas,* League Average
2011,1,18,Brees Nuts,* League Average
2011,1,19,Crackers,* League Average
2011,1,20,Pillshovellers,* League Average
2011,1,21,Scalp Hunters,* League Average
2011,1,22,Team Christman,* League Average
2011,1,23,Team Colbert,* League Average
2011,1,24,Pestilence,* League Average
2011,1,25,Phinatics,* League Average
2011,1,26,Team Thompson,* League Average
2011,1,27,Ghost of Derrick Thomas,* League Average
2011,1,28,THE Great Chewbaccas,* League Average
2011,2,29,THE Great Chewbaccas,He Hate Me
2011,2,30,THE Great Chewbaccas,GoodFellas
2011,2,31,GoodFellas,MC Gusto
2011,2,32,Brees Nuts,He Hate Me
2011,2,33,Brees Nuts,Ghost of Derrick Thomas
2011,2,34,Crackers,MC Gusto
2011,2,35,Crackers,Team Thompson
2011,2,36,Pillshovellers,Ghost of Derrick Thomas
2011,2,37,Pillshovellers,Phinatics
2011,2,38,Scalp Hunters,Team Thompson
2011,2,39,Scalp Hunters,Pestilence
2011,2,40,Team Christman,Phinatics
2011,2,41,Team Christman,Team Colbert
2011,2,42,Team Colbert,Pestilence
2011,2,43,MC Gusto,* League Average
2011,2,44,He Hate Me,* League Average
2011,2,45,GoodFellas,* League Average
2011,2,46,Brees Nuts,* League Average
2011,2,47,Crackers,* League Average
2011,2,48,Pillshovellers,* League Average
2011,2,49,Scalp Hunters,* League Average
2011,2,50,Team Christman,* League Average
2011,2,51,Team Colbert,* League Average
2011,2,52,Pestilence,* League Average
2011,2,53,Phinatics,* League Average
2011,2,54,Team Thompson,* League Average
2011,2,55,Ghost of Derrick Thomas,* League Average
2011,2,56,THE Great Chewbaccas,* League Average
2011,3,57,THE Great Chewbaccas,Brees Nuts
2011,3,58,THE Great Chewbaccas,Crackers
2011,3,59,Crackers,GoodFellas
2011,3,60,Pillshovellers,Brees Nuts
2011,3,61,Pillshovellers,He Hate Me
2011,3,62,Scalp Hunters,GoodFellas
2011,3,63,Scalp Hunters,MC Gusto
2011,3,64,Team Christman,He Hate Me
2011,3,65,Team Christman,Ghost of Derrick Thomas
2011,3,66,Team Colbert,MC Gusto
2011,3,67,Team Colbert,Team Thompson
2011,3,68,Pestilence,Ghost of Derrick Thomas
2011,3,69,Pestilence,Phinatics
2011,3,70,Phinatics,Team Thompson
2011,3,71,MC Gusto,* League Average
2011,3,72,He Hate Me,* League Average
2011,3,73,GoodFellas,* League Average
2011,3,74,Brees Nuts,* League Average
2011,3,75,Crackers,* League Average
2011,3,76,Pillshovellers,* League Average
2011,3,77,Scalp Hunters,* League Average
2011,3,78,Team Christman,* League Average
2011,3,79,Team Colbert,* League Average
2011,3,80,Pestilence,* League Average
2011,3,81,Phinatics,* League Average
2011,3,82,Team Thompson,* League Average
2011,3,83,Ghost of Derrick Thomas,* League Average
2011,3,84,THE Great Chewbaccas,* League Average
2011,4,85,THE Great Chewbaccas,Pillshovellers
2011,4,86,THE Great Chewbaccas,Scalp Hunters
2011,4,87,Scalp Hunters,Crackers
2011,4,88,Team Christman,Pillshovellers
2011,4,89,Team Christman,Brees Nuts
2011,4,90,Team Colbert,Crackers
2011,4,91,Team Colbert,GoodFellas
2011,4,92,Pestilence,Brees Nuts
2011,4,93,Pestilence,He Hate Me
2011,4,94,Phinatics,GoodFellas
2011,4,95,Phinatics,MC Gusto
2011,4,96,Team Thompson,He Hate Me
2011,4,97,Team Thompson,Ghost of Derrick Thomas
2011,4,98,Ghost of Derrick Thomas,MC Gusto
2011,4,99,MC Gusto,* League Average
2011,4,100,He Hate Me,* League Average
2011,4,101,GoodFellas,* League Average
2011,4,102,Brees Nuts,* League Average
2011,4,103,Crackers,* League Average
2011,4,104,Pillshovellers,* League Average
2011,4,105,Scalp Hunters,* League Average
2011,4,106,Team Christman,* League Average
2011,4,107,Team Colbert,* League Average
2011,4,108,Pestilence,* League Average
2011,4,109,Phinatics,* League Average
2011,4,110,Team Thompson,* League Average
2011,4,111,Ghost of Derrick Thomas,* League Average
2011,4,112,THE Great Chewbaccas,* League Average
2011,5,113,THE Great Chewbaccas,Team Christman
2011,5,114,THE Great Chewbaccas,Team Colbert
2011,5,115,Team Colbert,Scalp Hunters
2011,5,116,Pestilence,Team Christman
2011,5,117,Pestilence,Pillshovellers
